Variable,Total,Success (n=259),Failure (n=63),Test,p-value,q-value (BH)
n,322,259,63,,,
"BMI (kg/m²), median [IQR]",27.6 [24.8–31.6],28.0 [24.9–31.7],26.5 [23.6–31.0],MWU,0.121,0.896
"Age at surgery (yrs), median [IQR]",65.0 [57.0–72.0],65.0 [57.0–72.0],67.0 [55.2–72.8],MWU,0.765,1.000
"Age at TN diagnosis (yrs), median [IQR]",60.5 [51.0–68.0],61.0 [53.0–68.0],57.0 [47.0–65.5],MWU,0.040,0.810
"Number of TN drugs, median [IQR]",2.0 [1.0–2.0],2.0 [1.0–2.0],2.0 [1.0–3.0],MWU,0.940,1.000
"Duration TN dx → MVD (mo), median [IQR]",25.0 [5.0–68.0],24.5 [7.0–69.5],25.0 [2.5–66.0],MWU,0.487,1.000
"Length of hospital stay (d), median [IQR]",1.0 [1.0–2.0],1.0 [1.0–2.0],1.0 [1.0–2.0],MWU,0.349,1.000
"BNI pain score, baseline, n (%)",,,,Chi2,0.326,1.000
    I,2 (0.6%),2 (0.8%),0 (0.0%),,,
    IIIb,10 (3.1%),6 (2.3%),4 (6.5%),,,
    IV,244 (76.0%),197 (76.1%),47 (75.8%),,,
    V,65 (20.2%),54 (20.8%),11 (17.7%),,,
"BNI numbness score, baseline, n (%)",,,,Chi2,0.842,1.000
    I,296 (92.8%),238 (92.2%),58 (95.1%),,,
    II,21 (6.6%),18 (7.0%),3 (4.9%),,,
    III,1 (0.3%),1 (0.4%),0 (0.0%),,,
    IV,1 (0.3%),1 (0.4%),0 (0.0%),,,
"NVC severity (radiologic), n (%)",,,,Chi2,0.829,1.000
    I,179 (59.7%),143 (58.8%),36 (63.2%),,,
    II,97 (32.3%),81 (33.3%),16 (28.1%),,,
    III,23 (7.7%),18 (7.4%),5 (8.8%),,,
    None,1 (0.3%),1 (0.4%),0 (0.0%),,,
"NVC severity (intraoperative), n (%)",,,,Chi2,0.199,0.896
    I,156 (49.8%),129 (50.8%),27 (45.8%),,,
    II,105 (33.5%),84 (33.1%),21 (35.6%),,,
    III,51 (16.3%),41 (16.1%),10 (16.9%),,,
    None,1 (0.3%),0 (0.0%),1 (1.7%),,,
"Laterality, n (%)",,,,Chi2,0.089,0.896
    Bilateral,8 (2.5%),5 (1.9%),3 (4.8%),,,
    Left,115 (35.7%),87 (33.6%),28 (44.4%),,,
    Right,199 (61.8%),167 (64.5%),32 (50.8%),,,
"Gender, n (%)",,,,Chi2,1.000,1.000
    Female,192 (59.6%),154 (59.5%),38 (60.3%),,,
    Male,130 (40.4%),105 (40.5%),25 (39.7%),,,
"TN subtype, n (%)",,,,Chi2,0.765,1.000
    Concomittant Pain,42 (13.0%),35 (13.5%),7 (11.1%),,,
    Paroxysmal,280 (87.0%),224 (86.5%),56 (88.9%),,,
"Sensory abnormalities, n (%)",,,,Chi2,0.780,1.000
    Allodynia,108 (96.4%),84 (96.6%),24 (96.0%),,,
    Hyperalgesia,1 (0.9%),1 (1.1%),0 (0.0%),,,
    Hypoesthesia,3 (2.7%),2 (2.3%),1 (4.0%),,,
"Compressing vessel (radiologic), n (%)",,,,Chi2,0.867,1.000
    Arterial,246 (81.2%),198 (80.5%),48 (84.2%),,,
    Arterial and Venous,24 (7.9%),21 (8.5%),3 (5.3%),,,
    Unspecified,6 (2.0%),5 (2.0%),1 (1.8%),,,
    Venous,27 (8.9%),22 (8.9%),5 (8.8%),,,
"Compressing vessel (intraoperative), n (%)",,,,Chi2,0.309,1.000
    Arterial,234 (74.3%),184 (72.4%),50 (82.0%),,,
    Arterial and Venous,50 (15.9%),43 (16.9%),7 (11.5%),,,
    Venous,31 (9.8%),27 (10.6%),4 (6.6%),,,
"Surgical approach, n (%)",,,,Chi2,0.600,1.000
    Endoscopic-assisted Retrosigmoid,11 (3.4%),10 (3.9%),1 (1.6%),,,
    Other,1 (0.3%),1 (0.4%),0 (0.0%),,,
    Retrosigmoid Approach,308 (96.2%),247 (95.7%),61 (98.4%),,,
"Surgical technique, n (%)",,,,Chi2,0.763,1.000
    Interposition,211 (65.9%),167 (64.7%),44 (71.0%),,,
    Interposition and Transposition,95 (29.7%),80 (31.0%),15 (24.2%),,,
    Other,4 (1.2%),3 (1.2%),1 (1.6%),,,
    Transposition,10 (3.1%),8 (3.1%),2 (3.2%),,,
"Surgical indication, n (%)",,,,Chi2,0.616,1.000
    Both,164 (52.1%),129 (51.0%),35 (56.5%),,,
    Failed Medication,116 (36.8%),94 (37.2%),22 (35.5%),,,
    Intolerance to Medication,35 (11.1%),30 (11.9%),5 (8.1%),,,
"Cardiovascular disease, n (%)",43 (13.4%),35 (13.5%),8 (12.9%),Chi2,1.000,1.000
"Diabetes mellitus, n (%)",40 (12.4%),33 (12.7%),7 (11.1%),Chi2,0.890,1.000
"Hypertension, n (%)",161 (50.0%),132 (51.0%),29 (46.0%),Chi2,0.574,1.000
"Depression, n (%)",61 (18.9%),48 (18.5%),13 (20.6%),Chi2,0.839,1.000
"Multiple sclerosis, n (%)",3 (0.9%),2 (0.8%),1 (1.6%),Fisher,0.481,1.000
"V1 involvement, n (%)",163 (52.1%),130 (51.8%),33 (53.2%),Chi2,0.952,1.000
"V2 involvement, n (%)",270 (86.3%),217 (86.5%),53 (85.5%),Chi2,1.000,1.000
"V3 involvement, n (%)",231 (73.8%),190 (75.7%),41 (66.1%),Chi2,0.170,0.896
"Trigger point, n (%)",297 (92.5%),236 (91.5%),61 (96.8%),Fisher,0.187,0.896
"Night-time pain, n (%)",26 (8.1%),20 (7.7%),6 (9.7%),Chi2,0.804,1.000
"Carbamazepine, n (%)",262 (81.4%),212 (81.9%),50 (79.4%),Chi2,0.784,1.000
"Gabapentin, n (%)",168 (52.2%),130 (50.2%),38 (60.3%),Chi2,0.193,0.896
"Phenytoin, n (%)",24 (7.5%),19 (7.3%),5 (7.9%),Chi2,1.000,1.000
"Baclofen, n (%)",44 (13.7%),30 (11.6%),14 (22.2%),Chi2,0.045,0.810
"Oxcarbamazepine, n (%)",76 (23.6%),62 (23.9%),14 (22.2%),Chi2,0.903,1.000
"Pregabalin, n (%)",16 (5.0%),15 (5.8%),1 (1.6%),Fisher,0.327,1.000
"Lamotrigine, n (%)",12 (3.7%),11 (4.2%),1 (1.6%),Fisher,0.473,1.000
